Time (s),Voltage(V)
2.7657550115973247e-08,-0.27228
2.7665362615973238e-08,-0.27286
2.7673175115973242e-08,-0.27342
2.7680987615973246e-08,-0.27372
2.7688800115973236e-08,-0.27376
2.7696612615973227e-08,-0.27343
2.770442511597323e-08,-0.27286
2.7712237615973235e-08,-0.27226
2.7720050115973225e-08,-0.27199
2.7727862615973216e-08,-0.27237
2.773567511597322e-08,-0.2733
2.7743487615973224e-08,-0.27412
2.7751300115973214e-08,-0.27432
2.7759112615973205e-08,-0.27366
2.776692511597321e-08,-0.27259
2.7774737615973213e-08,-0.27191
2.7782550115973204e-08,-0.27208
2.7790362615973194e-08,-0.27293
2.7798175115973198e-08,-0.27354
2.7805987615973202e-08,-0.27283
2.7813800115973193e-08,-0.27075
2.7821612615973183e-08,-0.26823
2.7829425115973187e-08,-0.26668
2.783723761597319e-08,-0.26688
2.7845050115973182e-08,-0.26819
2.7852862615973172e-08,-0.26864
2.7860675115973176e-08,-0.26587
2.786848761597318e-08,-0.25826
2.787630011597317e-08,-0.24607
2.788411261597316e-08,-0.231
2.7891925115973166e-08,-0.21504
2.789973761597317e-08,-0.19967
2.790755011597316e-08,-0.18521
2.791536261597315e-08,-0.17113
2.7923175115973155e-08,-0.1568
2.793098761597316e-08,-0.14172
2.793880011597315e-08,-0.12605
2.794661261597314e-08,-0.11011
2.7954425115973144e-08,-0.09398
2.7962237615973148e-08,-0.07767
2.7970050115973138e-08,-0.06117
2.797786261597313e-08,-0.04462
2.7985675115973133e-08,-0.02847
2.7993487615973137e-08,-0.01284
2.8001300115973127e-08,0.00233
2.8009112615973118e-08,0.01744
2.8016925115973122e-08,0.03308
2.8024737615973126e-08,0.04946
2.8032550115973117e-08,0.06623
2.8040362615973107e-08,0.08279
2.804817511597311e-08,0.0984
2.8055987615973115e-08,0.11299
2.8063800115973106e-08,0.12706
2.8071612615973096e-08,0.14153
2.80794251159731e-08,0.15722
2.8087237615973104e-08,0.17419
2.8095050115973095e-08,0.19141
2.8102862615973085e-08,0.20724
2.811067511597309e-08,0.21977
2.8118487615973093e-08,0.22794
2.8126300115973084e-08,0.23197
2.8134112615973075e-08,0.23316
2.814192511597308e-08,0.23354
2.8149737615973082e-08,0.23467
2.8157550115973073e-08,0.23707
2.8165362615973064e-08,0.24034
2.8173175115973068e-08,0.24326
2.818098761597307e-08,0.24492
2.8188800115973062e-08,0.24531
2.8196612615973053e-08,0.24506
2.8204425115973057e-08,0.2453
2.821223761597306e-08,0.24663
2.822005011597305e-08,0.24889
